Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-08
Horizontal Delay,4e-08
Sample Interval,4e-10
Record Length,10000
Gating,44.9900% to 55.00%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0.06024
Vertical Scale,0.001
Vertical Position,-5
,
,
,
Label,
TIME,CH1
1.7960e-07,0.06428
1.8000e-07,0.06512
1.8040e-07,0.06556
1.8080e-07,0.06536
1.8120e-07,0.0648
1.8160e-07,0.06416
1.8200e-07,0.06368
1.8240e-07,0.06376
1.8280e-07,0.06424
1.8320e-07,0.06492
1.8360e-07,0.06584
1.8400e-07,0.06684
1.8440e-07,0.06768
1.8480e-07,0.0678
1.8520e-07,0.06716
1.8560e-07,0.06624
1.8600e-07,0.06544
1.8640e-07,0.06532
1.8680e-07,0.0658
1.8720e-07,0.06652
1.8760e-07,0.06668
1.8800e-07,0.06644
1.8840e-07,0.06608
1.8880e-07,0.06616
1.8920e-07,0.06636
1.8960e-07,0.06648
1.9000e-07,0.06604
1.9040e-07,0.06528
1.9080e-07,0.0648
1.9120e-07,0.0652
1.9160e-07,0.06608
1.9200e-07,0.06712
1.9240e-07,0.06772
1.9280e-07,0.0678
1.9320e-07,0.06752
1.9360e-07,0.06716
1.9400e-07,0.06664
1.9440e-07,0.06572
1.9480e-07,0.06484
1.9520e-07,0.0644
1.9560e-07,0.06456
1.9600e-07,0.06528
1.9640e-07,0.06628
1.9680e-07,0.06692
1.9720e-07,0.06688
1.9760e-07,0.06652
1.9800e-07,0.06624
1.9840e-07,0.06612
1.9880e-07,0.06604
1.9920e-07,0.06588
1.9960e-07,0.06568
2.0000e-07,0.06552
2.0040e-07,0.06552
2.0080e-07,0.06568
2.0120e-07,0.0658
2.0160e-07,0.06564
2.0200e-07,0.06548
2.0240e-07,0.06532
2.0280e-07,0.06536
2.0320e-07,0.0656
2.0360e-07,0.06596
2.0400e-07,0.06628
2.0440e-07,0.06652
2.0480e-07,0.06656
2.0520e-07,0.0666
2.0560e-07,0.06656
2.0600e-07,0.06644
2.0640e-07,0.06628
2.0680e-07,0.06628
2.0720e-07,0.06636
2.0760e-07,0.06648
2.0800e-07,0.0666
2.0840e-07,0.0664
2.0880e-07,0.06612
2.0920e-07,0.06592
2.0960e-07,0.06604
2.1000e-07,0.0664
2.1040e-07,0.06684
2.1080e-07,0.06712
2.1120e-07,0.06708
2.1160e-07,0.06684
2.1200e-07,0.06636
2.1240e-07,0.06588
2.1280e-07,0.06556
2.1320e-07,0.06544
2.1360e-07,0.06568
2.1400e-07,0.06596
2.1440e-07,0.06604
2.1480e-07,0.06596
2.1520e-07,0.06552
2.1560e-07,0.0648
2.1600e-07,0.06408
2.1640e-07,0.06396
2.1680e-07,0.0646
2.1720e-07,0.06528
2.1760e-07,0.06524
2.1800e-07,0.0644
2.1840e-07,0.06328
2.1880e-07,0.0628
2.1920e-07,0.06356
2.1960e-07,0.06512
2.2000e-07,0.06652
2.2040e-07,0.06728
2.2080e-07,0.0676
2.2120e-07,0.06768
2.2160e-07,0.06744
2.2200e-07,0.06664
2.2240e-07,0.06552
2.2280e-07,0.0648
2.2320e-07,0.06464
2.2360e-07,0.06524
2.2400e-07,0.06628
2.2440e-07,0.06712
2.2480e-07,0.06732
2.2520e-07,0.06692
2.2560e-07,0.06584
2.2600e-07,0.06464
2.2640e-07,0.06376
2.2680e-07,0.06356
2.2720e-07,0.06404
2.2760e-07,0.065
2.2800e-07,0.06596
2.2840e-07,0.06644
2.2880e-07,0.06644
2.2920e-07,0.06632
2.2960e-07,0.06624
