Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,4e-07,,
Horizontal Delay,3e-08,,
Sample Interval,4e-10,,
Record Length,10000,,
Gating,49.1100% to 51.6100%,,
Probe Attenuation,1,,
Vertical Units,V,,
Vertical Offset,0,,
Vertical Scale,0.02,,
Vertical Position,-4.98,,
,,,
,,,
,,,
Label,,,
TIME,CH1,CH3,CH4
8.2000e-08,0.157472,0.0753422,-0.0417187
8.2400e-08,0.157366,0.0752687,-0.0420781
8.2800e-08,0.157384,0.0752656,-0.0414063
8.3200e-08,0.157244,0.0752234,-0.0418594
8.3600e-08,0.157222,0.0752109,-0.0416719
8.4000e-08,0.156963,0.0751281,-0.0419063
8.4400e-08,0.156866,0.0751438,-0.0416563
8.4800e-08,0.156803,0.0750969,-0.0418437
8.5200e-08,0.156753,0.0750313,-0.0417344
8.5600e-08,0.156741,0.0750141,-0.0410156
8.6000e-08,0.156681,0.0749719,-0.0414063
8.6400e-08,0.156459,0.0749188,-0.0410938
8.6800e-08,0.1565,0.0749047,-0.0411719
8.7200e-08,0.156319,0.0748516,-0.0414063
8.7600e-08,0.156106,0.074825,-0.0415469
8.8000e-08,0.156053,0.0747984,-0.0414219
8.8400e-08,0.155975,0.0747953,-0.041
8.8800e-08,0.155869,0.0747359,-0.04125
8.9200e-08,0.155881,0.0747172,-0.0411875
8.9600e-08,0.155644,0.0746703,-0.0414219
9.0000e-08,0.15565,0.0746375,-0.0410156
9.0400e-08,0.1556,0.0746516,-0.0409063
9.0800e-08,0.155497,0.0745969,-0.0410625
9.1200e-08,0.155359,0.0745875,-0.0409844
9.1600e-08,0.155284,0.0745688,-0.0409375
9.2000e-08,0.155259,0.0744828,-0.0411719
9.2400e-08,0.1551,0.0744469,-0.0410312
9.2800e-08,0.154859,0.0743703,-0.0413281
9.3200e-08,0.154997,0.0743797,-0.0405781
9.3600e-08,0.154866,0.0743156,-0.0410156
9.4000e-08,0.154531,0.0742813,-0.0410156

