Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1.25e+08
Horizontal Delay,6.25e+08
Sample Interval,125000
Record Length,10000
Gating,0.0% to 98.8900%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Vertical Position,3
,
,
,
Label,
FREQUENCY,"MATH<FFT(CH1, HANNING, LOGRMS)>"
6.2250e+07,-116.944
6.2375e+07,-118.912
6.2500e+07,-120.881
6.2625e+07,-121.422
6.2750e+07,-121.963
6.2875e+07,-119.662
6.3000e+07,-117.363
6.3125e+07,-116.544
6.3250e+07,-115.722
6.3375e+07,-116.05
6.3500e+07,-116.375
6.3625e+07,-117.125
6.3750e+07,-117.875
6.3875e+07,-118.409
6.4000e+07,-118.944
6.4125e+07,-120.713
6.4250e+07,-122.481
6.4375e+07,-124.253
6.4500e+07,-126.025
6.4625e+07,-130.147
6.4750e+07,-134.269
6.4875e+07,-133.616
6.5000e+07,-132.963
6.5125e+07,-126.419
6.5250e+07,-119.872
6.5375e+07,-117.787
6.5500e+07,-115.7
6.5625e+07,-116.572
6.5750e+07,-117.441
6.5875e+07,-120.062
6.6000e+07,-122.681
6.6125e+07,-122.084
6.6250e+07,-121.488
6.6375e+07,-119.628
6.6500e+07,-117.766
6.6625e+07,-117.694
6.6750e+07,-117.619
6.6875e+07,-118.606
6.7000e+07,-119.594
6.7125e+07,-119.088
6.7250e+07,-118.581
6.7375e+07,-117.4
6.7500e+07,-116.219
6.7625e+07,-116.869
6.7750e+07,-117.516
6.7875e+07,-120.425
6.8000e+07,-123.331
6.8125e+07,-122.378
6.8250e+07,-121.425
6.8375e+07,-119.484
6.8500e+07,-117.544
6.8625e+07,-117.159
6.8750e+07,-116.775
6.8875e+07,-119.412
6.9000e+07,-122.05
6.9125e+07,-124.147
6.9250e+07,-126.241
6.9375e+07,-125.656
6.9500e+07,-125.072
6.9625e+07,-125.356
6.9750e+07,-125.638
6.9875e+07,-124.45
7.0000e+07,-123.259
7.0125e+07,-121.225
7.0250e+07,-119.188
7.0375e+07,-118.916
7.0500e+07,-118.644
7.0625e+07,-120.041
7.0750e+07,-121.438
7.0875e+07,-121.356
7.1000e+07,-121.275
7.1125e+07,-120.822
7.1250e+07,-120.369
7.1375e+07,-119.369
7.1500e+07,-118.369
7.1625e+07,-108.403
7.1750e+07,-98.4344
7.1875e+07,-95.5312
7.2000e+07,-92.6281
7.2125e+07,-95.7
7.2250e+07,-98.7719
7.2375e+07,-112.225
7.2500e+07,-125.675
7.2625e+07,-133.044
7.2750e+07,-140.413
7.2875e+07,-133.266
7.3000e+07,-126.116
7.3125e+07,-124.484
7.3250e+07,-122.85
7.3375e+07,-123.809
7.3500e+07,-124.769
7.3625e+07,-126.2
7.3750e+07,-127.628
7.3875e+07,-128.766
7.4000e+07,-129.9
7.4125e+07,-129.075
7.4250e+07,-128.25
7.4375e+07,-125.144
7.4500e+07,-122.034
7.4625e+07,-121.463
7.4750e+07,-120.891
7.4875e+07,-123.522
7.5000e+07,-126.15
7.5125e+07,-126.375
7.5250e+07,-126.597
7.5375e+07,-123.541
7.5500e+07,-120.484
7.5625e+07,-120.153
7.5750e+07,-119.819
7.5875e+07,-119.028
