Model,MSO4034B
Firmware Version,2.52

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-08,
Horizontal Delay,1.29557e-06,
Sample Interval,4e-10,
Record Length,10000,
Gating,16.7200% to 21.7300%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0.0708,
Vertical Scale,0.02,
Vertical Position,-1.02,
,,
,,
,,
Label,,
TIME,CH1,CH3
1.0597e-07,0.0872,0.0008
1.0637e-07,0.088,0.0008
1.0677e-07,0.0888,0
1.0717e-07,0.0888,0
1.0757e-07,0.088,0.0008
1.0797e-07,0.0888,0.0008
1.0837e-07,0.0888,-0.0008
1.0877e-07,0.0872,-0.0016
1.0917e-07,0.0864,-0.0024
1.0957e-07,0.0872,-0.0024
1.0997e-07,0.0896,-0.0016
1.1037e-07,0.092,-0.0016
1.1077e-07,0.092,0.0016
1.1117e-07,0.0912,0.0016
1.1157e-07,0.088,0.0008
1.1197e-07,0.0864,0
1.1237e-07,0.0864,0
1.1277e-07,0.0864,0
1.1317e-07,0.0872,-0.0008
1.1357e-07,0.088,-0.0008
1.1397e-07,0.0888,-0.0008
1.1437e-07,0.0888,0
1.1477e-07,0.0888,0.0008
1.1517e-07,0.0888,0
1.1557e-07,0.0864,0
1.1597e-07,0.0848,0.0008
1.1637e-07,0.0848,0.0016
1.1677e-07,0.0864,0
1.1717e-07,0.0872,0
1.1757e-07,0.0896,-0.0016
1.1797e-07,0.0896,-0.0016
1.1837e-07,0.0896,-0.0008
1.1877e-07,0.0904,-0.0016
1.1917e-07,0.0888,-0.0008
1.1957e-07,0.0888,0.0008
1.1997e-07,0.088,0.0016
1.2037e-07,0.088,0.0008
1.2077e-07,0.0896,0
1.2117e-07,0.0904,0
1.2157e-07,0.0904,0.0008
1.2197e-07,0.0896,-0.0008
1.2237e-07,0.0896,-0.0032
1.2277e-07,0.0888,-0.0024
1.2317e-07,0.088,0
1.2357e-07,0.0888,0.0008
1.2397e-07,0.0896,-0.0008
1.2437e-07,0.0904,0
1.2477e-07,0.0896,0.0008
1.2517e-07,0.0888,0.0008
1.2557e-07,0.0896,0
1.2597e-07,0.0888,-0.0016
1.2637e-07,0.0888,-0.0016
1.2677e-07,0.0888,-0.0008
1.2717e-07,0.0872,-0.0008
1.2757e-07,0.0872,-0.0016
1.2797e-07,0.0872,-0.0008
1.2837e-07,0.088,0.0008
1.2877e-07,0.088,0.0008
1.2917e-07,0.0888,0.0008
1.2957e-07,0.0896,0
1.2997e-07,0.088,-0.0008
1.3037e-07,0.088,-0.0008
1.3077e-07,0.088,-0.0016
1.3117e-07,0.0872,-0.0024
1.3157e-07,0.0872,-0.0016
1.3197e-07,0.0872,0
1.3237e-07,0.0864,0
1.3277e-07,0.0872,0.0008
1.3317e-07,0.088,0.0008
1.3357e-07,0.0888,0.0008
1.3397e-07,0.0888,0.0008
1.3437e-07,0.0888,-0.0008
1.3477e-07,0.088,-0.0016
1.3517e-07,0.0864,-0.0008
1.3557e-07,0.0872,-0.0008
1.3597e-07,0.0864,-0.0016
1.3637e-07,0.0888,-0.0016
1.3677e-07,0.0896,-0.0008
1.3717e-07,0.0904,0.0008
1.3757e-07,0.0888,0.0008
1.3797e-07,0.0888,0
1.3837e-07,0.088,0
1.3877e-07,0.0888,0
